id,title,comments,journal-ref,doi,report-no,categories,license,abstract,authors_parsed,pages
0704.0011,"Computing genus 2 Hilbert-Siegel modular forms over $\Q(\sqrt{5})$ via
  the Jacquet-Langlands correspondence",14 pages; title changed; to appear in Experimental Mathematics,,,,"['math.NT', 'math.AG']",http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In this paper we present an algorithm for computing Hecke eigensystems of
Hilbert-Siegel cusp forms over real quadratic fields of narrow class number
one. We give some illustrative examples using the quadratic field
$\Q(\sqrt{5})$. In those examples, we identify Hilbert-Siegel eigenforms that
are possible lifts from Hilbert eigenforms.
","[['Cunningham', 'Clifton', ''], ['Dembele', 'Lassina', '']]",14.0
0704.0012,"Distribution of integral Fourier Coefficients of a Modular Form of Half
  Integral Weight Modulo Primes",,,,,['math.NT'],,"  Recently, Bruinier and Ono classified cusp forms $f(z) := \sum_{n=0}^{\infty}
a_f(n)q ^n \in S_{\lambda+1/2}(\Gamma_0(N),\chi)\cap \mathbb{Z}[[q]]$ that does
not satisfy a certain distribution property for modulo odd primes $p$. In this
paper, using Rankin-Cohen Bracket, we extend this result to modular forms of
half integral weight for primes $p \geq 5$. As applications of our main theorem
we derive distribution properties, for modulo primes $p\geq5$, of traces of
singular moduli and Hurwitz class number. We also study an analogue of Newman's
conjecture for overpartitions.
","[['Choi', 'Dohoon', '']]",
0704.0013,"$p$-adic Limit of Weakly Holomorphic Modular Forms of Half Integral
  Weight",,,,,['math.NT'],,"  Serre obtained the p-adic limit of the integral Fourier coefficient of
modular forms on $SL_2(\mathbb{Z})$ for $p=2,3,5,7$. In this paper, we extend
the result of Serre to weakly holomorphic modular forms of half integral weight
on $\Gamma_{0}(4N)$ for $N=1,2,4$. A proof is based on linear relations among
Fourier coefficients of modular forms of half integral weight. As applications
we obtain congruences of Borcherds exponents, congruences of quotient of
Eisentein series and congruences of values of $L$-functions at a certain point
are also studied. Furthermore, the congruences of the Fourier coefficients of
Siegel modular forms on Maass Space are obtained using Ikeda lifting.
","[['Choi', 'Dohoon', ''], ['Choie', 'YoungJu', '']]",
0704.0014,Iterated integral and the loop product,"18 pages, 1 figure",,,,"['math.CA', 'math.AT']",,"  In this article we discuss a relation between the string topology and
differential forms based on the theory of Chen's iterated integrals and the
cyclic bar complex.
","[['Fujii', 'Koichi', '']]",18.0
0704.0015,Fermionic superstring loop amplitudes in the pure spinor formalism,"22 pages; signs and coefficients adjusted for anticommuting
  superfields, section 4.3 changed accordingly, reference added","JHEP 0705:034,2007",10.1088/1126-6708/2007/05/034,,['hep-th'],,"  The pure spinor formulation of the ten-dimensional superstring leads to
manifestly supersymmetric loop amplitudes, expressed as integrals in pure
spinor superspace. This paper explores different methods to evaluate these
integrals and then uses them to calculate the kinematic factors of the one-loop
and two-loop massless four-point amplitudes involving two and four Ramond
states.
","[['Stahn', 'Christian', '']]",22.0
0704.0016,Lifetime of doubly charmed baryons,"17 pages, 3 figures and 1 table","Commun.Theor.Phys.49:993-1000,2008",10.1088/0253-6102/49/4/38,,['hep-ph'],,"  In this work, we evaluate the lifetimes of the doubly charmed baryons
$\Xi_{cc}^{+}$, $\Xi_{cc}^{++}$ and $\Omega_{cc}^{+}$. We carefully calculate
the non-spectator contributions at the quark level where the Cabibbo-suppressed
diagrams are also included. The hadronic matrix elements are evaluated in the
simple non-relativistic harmonic oscillator model. Our numerical results are
generally consistent with that obtained by other authors who used the diquark
model. However, all the theoretical predictions on the lifetimes are one order
larger than the upper limit set by the recent SELEX measurement. This
discrepancy would be clarified by the future experiment, if more accurate
experiment still confirms the value of the SELEX collaboration, there must be
some unknown mechanism to be explored.
","[['Chang', 'Chao-Hsi', ''], ['Li', 'Tong', ''], ['Li', 'Xue-Qian', ''], ['Wang', 'Yu-Ming', '']]",17.0
0704.0017,"Spectroscopic Observations of the Intermediate Polar EX Hydrae in
  Quiescence","10 pages, 11 figures (figures 3, 4, 7 and 8 at reduced resolution,
  originals available on request). Accepted for publication in Monthly Notices
  of the Royal Astronomical Society","Mon.Not.Roy.Astron.Soc.378:211-220,2007",10.1111/j.1365-2966.2007.11762.x,,['astro-ph'],,"  Results from spectroscopic observations of the Intermediate Polar (IP) EX Hya
in quiescence during 1991 and 2001 are presented. Spin-modulated radial
velocities consistent with an outer disc origin were detected for the first
time in an IP. The spin pulsation was modulated with velocities near ~500-600
km/s. These velocities are consistent with those of material circulating at the
outer edge of the accretion disc, suggesting corotation of the accretion
curtain with material near the Roche lobe radius. Furthermore, spin Doppler
tomograms have revealed evidence of the accretion curtain emission extending
from velocities of ~500 km/s to ~1000 km/s. These findings have confirmed the
theoretical model predictions of King & Wynn (1999), Belle et al. (2002) and
Norton et al. (2004) for EX Hya, which predict large accretion curtains that
extend to a distance close to the Roche lobe radius in this system. Evidence
for overflow stream of material falling onto the magnetosphere was observed,
confirming the result of Belle et al. (2005) that disc overflow in EX Hya is
present during quiescence as well as outburst. It appears that the hbeta and
hgamma spin radial velocities originated from the rotation of the funnel at the
outer disc edge, while those of halpha were produced due to the flow of
material along the field lines far from the white dwarf (narrow component) and
close to the white dwarf (broad-base component), in agreement with the
accretion curtain model.
","[['Mhlahlo', 'Nceba', ''], ['Buckley', 'David H.', ''], ['Dhillon', 'Vikram S.', ''], ['Potter', 'Steven B.', ''], ['Warner', 'Brian', ''], ['Woudt', 'Patric A.', '']]",10.0
0704.0018,In quest of a generalized Callias index theorem,"20 pages, v2: an overall sign and typos corrected",,,,['hep-th'],,"  We give a prescription for how to compute the Callias index, using as
regulator an exponential function. We find agreement with old results in all
odd dimensions. We show that the problem of computing the dimension of the
moduli space of self-dual strings can be formulated as an index problem in
even-dimensional (loop-)space. We think that the regulator used in this Letter
can be applied to this index problem.
","[['Gustavsson', 'Andreas', '']]",20.0
0704.0019,"Approximation for extinction probability of the contact process based on
  the Gr\""obner basis","6 pages, Journal-ref added","RIMS Kokyuroku, No.1551, pp.57-62 (2007)",,,"['math.PR', 'math.AG']",,"  In this note we give a new method for getting a series of approximations for
the extinction probability of the one-dimensional contact process by using the
Gr\""obner basis.
","[['Konno', 'Norio', '']]",6.0
0704.0020,Measurement of the Hadronic Form Factor in D0 --> K- e+ nue Decays,"21 pages, 13 postscript figures, submitted to Phys. Rev. D,
  contributed to 42nd Rencontres de Moriond: QCD and Hadronic Interactions","Phys.Rev.D76:052005,2007",10.1103/PhysRevD.76.052005,"BABAR-PUB-07/015, SLAC-PUB-12417",['hep-ex'],,"  The shape of the hadronic form factor f+(q2) in the decay D0 --> K- e+ nue
has been measured in a model independent analysis and compared with theoretical
calculations. We use 75 fb(-1) of data recorded by the BABAR detector at the
PEPII electron-positron collider. The corresponding decay branching fraction,
relative to the decay D0 --> K- pi+, has also been measured to be RD = BR(D0
--> K- e+ nue)/BR(D0 --> K- pi+) = 0.927 +/- 0.007 +/- 0.012. From these
results, and using the present world average value for BR(D0 --> K- pi+), the
normalization of the form factor at q2=0 is determined to be f+(0)=0.727 +/-
0.007 +/- 0.005 +/- 0.007 where the uncertainties are statistical, systematic,
and from external inputs, respectively.
","[['The BABAR Collaboration', '', ''], ['Aubert', 'B.', '']]",21.0
0704.0021,"Molecular Synchronization Waves in Arrays of Allosterically Regulated
  Enzymes","5 pages, 4 figures","Phys. Rev. Lett. 99, 048301 (2007)",10.1103/PhysRevLett.99.048301,,"['nlin.PS', 'physics.chem-ph', 'q-bio.MN']",,"  Spatiotemporal pattern formation in a product-activated enzymic reaction at
high enzyme concentrations is investigated. Stochastic simulations show that
catalytic turnover cycles of individual enzymes can become coherent and that
complex wave patterns of molecular synchronization can develop. The analysis
based on the mean-field approximation indicates that the observed patterns
result from the presence of Hopf and wave bifurcations in the considered
system.
","[['Casagrande', 'Vanessa', ''], ['Togashi', 'Yuichi', ''], ['Mikhailov', 'Alexander S.', '']]",5.0
0704.0022,Stochastic Lie group integrators,"20 pages, 4 figures",,,,['math.NA'],,"  We present Lie group integrators for nonlinear stochastic differential
equations with non-commutative vector fields whose solution evolves on a smooth
finite dimensional manifold. Given a Lie group action that generates transport
along the manifold, we pull back the stochastic flow on the manifold to the Lie
group via the action, and subsequently pull back the flow to the corresponding
Lie algebra via the exponential map. We construct an approximation to the
stochastic flow in the Lie algebra via closed operations and then push back to
the Lie group and then to the manifold, thus ensuring our approximation lies in
the manifold. We call such schemes stochastic Munthe-Kaas methods after their
deterministic counterparts. We also present stochastic Lie group integration
schemes based on Castell--Gaines methods. These involve using an underlying
ordinary differential integrator to approximate the flow generated by a
truncated stochastic exponential Lie series. They become stochastic Lie group
integrator schemes if we use Munthe-Kaas methods as the underlying ordinary
differential integrator. Further, we show that some Castell--Gaines methods are
uniformly more accurate than the corresponding stochastic Taylor schemes.
Lastly we demonstrate our methods by simulating the dynamics of a free rigid
body such as a satellite and an autonomous underwater vehicle both perturbed by
two independent multiplicative stochastic noise processes.
","[['Malham', 'Simon J. A.', ''], ['Wiese', 'Anke', '']]",20.0
0704.0023,ALMA as the ideal probe of the solar chromosphere,"4 pages, 2 figures, to appear in the proceedings of the conference
  Science with ALMA: a new era for Astrophysics, Spain, 2006","Astrophys.Space Sci.313:197-200,2008",10.1007/s10509-007-9626-1,,['astro-ph'],,"  The very nature of the solar chromosphere, its structuring and dynamics,
remains far from being properly understood, in spite of intensive research.
Here we point out the potential of chromospheric observations at millimeter
wavelengths to resolve this long-standing problem. Computations carried out
with a sophisticated dynamic model of the solar chromosphere due to Carlsson
and Stein demonstrate that millimeter emission is extremely sensitive to
dynamic processes in the chromosphere and the appropriate wavelengths to look
for dynamic signatures are in the range 0.8-5.0 mm. The model also suggests
that high resolution observations at mm wavelengths, as will be provided by
ALMA, will have the unique property of reacting to both the hot and the cool
gas, and thus will have the potential of distinguishing between rival models of
the solar atmosphere. Thus, initial results obtained from the observations of
the quiet Sun at 3.5 mm with the BIMA array (resolution of 12 arcsec) reveal
significant oscillations with amplitudes of 50-150 K and frequencies of 1.5-8
mHz with a tendency toward short-period oscillations in internetwork and longer
periods in network regions. However higher spatial resolution, such as that
provided by ALMA, is required for a clean separation between the features
within the solar atmosphere and for an adequate comparison with the output of
the comprehensive dynamic simulations.
","[['Loukitcheva', 'M. A.', ''], ['Solanki', 'S. K.', ''], ['White', 'S.', '']]",4.0
0704.0024,"Formation of quasi-solitons in transverse confined ferromagnetic film
  media","First appeared in Prof. B. Hillebrands' research group Annual Report
  2005 (http://www.physik.uni-kl.de/w_hilleb/ann05.html); also presented at
  Intermag'2006 Conference: M. Kostylev, A.A. Serga, and B. Hillebrands,
  Digests of International Magnetic Conference, May 8-12, 2006, San Diego, USA,
  FV03 (2006)",,,,['nlin.PS'],,"  The formation of quasi-2D spin-wave waveforms in longitudinally magnetized
stripes of ferrimagnetic film was observed by using time- and space-resolved
Brillouin light scattering technique. In the linear regime it was found that
the confinement decreases the amplitude of dynamic magnetization near the
lateral stripe edges. Thus, the so-called effective dipolar pinning of dynamic
magnetization takes place at the edges.
  In the nonlinear regime a new stable spin wave packet propagating along a
waveguide structure, for which both transversal instability and interaction
with the side walls of the waveguide are important was observed. The
experiments and a numerical simulation of the pulse evolution show that the
shape of the formed waveforms and their behavior are strongly influenced by the
confinement.
","[['Serga', 'A. A.', ''], ['Kostylev', 'M.', ''], ['Hillebrands', 'B.', '']]",
0704.0025,"Spectroscopic Properties of Polarons in Strongly Correlated Systems by
  Exact Diagrammatic Monte Carlo Method","41 pages, 13 figures, in ""Polarons in Advanced Materials"" ed. A. S.
  Alexandrov (Canopus/Springer Publishing, Bristol (2007)), pp. 503-544.",,10.1007/978-1-4020-6348-0_12,,"['cond-mat.str-el', 'cond-mat.stat-mech']",,"  We present recent advances in understanding of the ground and excited states
of the electron-phonon coupled systems obtained by novel methods of
Diagrammatic Monte Carlo and Stochastic Optimization, which enable the
approximation-free calculation of Matsubara Green function in imaginary times
and perform unbiased analytic continuation to real frequencies. We present
exact numeric results on the ground state properties, Lehmann spectral function
and optical conductivity of different strongly correlated systems: Frohlich
polaron, Rashba-Pekar exciton-polaron, pseudo Jahn-Teller polaron, exciton, and
interacting with phonons hole in the t-J model.
","[['Mishchenko', 'A. S.', '', '1 and 2'], ['Nagaosa', 'N.', '', '1 and 3']]",41.0
0704.0026,"Placeholder Substructures II: Meta-Fractals, Made of Box-Kites, Fill
  Infinite-Dimensional Skies","31 pp. Second of 3-part ""theorem/proof"" exposition of 78-slide
  Powerpoint from Wolfram Science's NKS 2006, available at
  http://wolframscience.com/conference/2006/presentations/materials/demarrais.ppt
  [v2: small fixes][v3: Added new Appendix B and small number of corrections
  (pp. 7, 14, 20) RE: 2nd type of box-kite flow pattern.]",,,,['math.RA'],,"  Zero-divisors (ZDs) derived by Cayley-Dickson Process (CDP) from
N-dimensional hypercomplex numbers (N a power of 2, at least 4) can represent
singularities and, as N approaches infinite, fractals -- and thereby,scale-free
networks. Any integer greater than 8 and not a power of 2 generates a
meta-fractal or ""Sky"" when it is interpreted as the ""strut constant"" (S) of an
ensemble of octahedral vertex figures called ""Box-Kites"" (the fundamental
building blocks of ZDs). Remarkably simple bit-manipulation rules or ""recipes""
provide tools for transforming one fractal genus into others within the context
of Wolfram's Class 4 complexity.
","[['de Marrais', 'Robert P. C.', '']]",
0704.0027,Filling-Factor-Dependent Magnetophonon Resonance in Graphene,"4 pages, 2 figures; mistakes due to an erroneous electron-phonon
  coupling constant have been corrected; mode splitting is larger than
  originally expected","Phys. Rev. Lett. 99, 087402 (2007)",10.1103/PhysRevLett.99.087402,,['cond-mat.mes-hall'],http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We describe a peculiar fine structure acquired by the in-plane optical phonon
at the Gamma-point in graphene when it is brought into resonance with one of
the inter-Landau-level transitions in this material. The effect is most
pronounced when this lattice mode (associated with the G-band in graphene Raman
spectrum) is in resonance with inter-Landau-level transitions 0 -> (+,1) and
(-,1) -> 0, at a magnetic field B_0 ~ 30 T. It can be used to measure the
strength of the electron-phonon coupling directly, and its filling-factor
dependence can be used experimentally to detect circularly polarized lattice
modes.
","[['Goerbig', 'M. O.', ''], ['Fuchs', 'J. -N.', ''], ['Kechedzhi', 'K.', ''], [""Fal'ko"", 'Vladimir I.', '']]",4.0
0704.0028,"Pfaffians, hafnians and products of real linear functionals",10 pages,"Math. Res. Lett. 15 (2008), no. 2, 351--358",,,"['math.CA', 'math.PR']",,"  We prove pfaffian and hafnian versions of Lieb's inequalities on determinants
and permanents of positive semi-definite matrices. We use the hafnian
inequality to improve the lower bound of R\'ev\'esz and Sarantopoulos on the
norm of a product of linear functionals on a real Euclidean space (this subject
is sometimes called the `real linear polarization constant' problem).
","[['Frenkel', 'Péter E.', '']]",10.0
0704.0029,"Understanding the Flavor Symmetry Breaking and Nucleon Flavor-Spin
  Structure within Chiral Quark Model",,"Phys.Rev.D75:094018,2007",10.1103/PhysRevD.75.094018,,['hep-ph'],,"  In $\XQM$, a quark can emit Goldstone bosons. The flavor symmetry breaking in
the Goldstone boson emission process is used to intepret the nucleon
flavor-spin structure. In this paper, we study the inner structure of
constituent quarks implied in $\XQM$ caused by the Goldstone boson emission
process in nucleon. From a simplified model Hamiltonian derived from $\XQM$,
the intrinsic wave functions of constituent quarks are determined. Then the
obtained transition probabilities of the emission of Goldstone boson from a
quark can give a reasonable interpretation to the flavor symmetry breaking in
nucleon flavor-spin structure.
","[['Shu', 'Zhan', ''], ['Chen', 'Xiao-Lin', ''], ['Deng', 'Wei-Zhen', '']]",
0704.0030,Tuning correlation effects with electron-phonon interactions,"Reprint to improve access. 13 pages, 6 figures.",J. Low. Temp. Phys. Vol. 140 pp77-89 (2005),10.1007/s10909-005-6013-6,,['cond-mat.str-el'],,"  We investigate the effect of tuning the phonon energy on the correlation
effects in models of electron-phonon interactions using DMFT. In the regime
where itinerant electrons, instantaneous electron-phonon driven correlations
and static distortions compete on similar energy scales, we find several
interesting results including (1) A crossover from band to Mott behavior in the
spectral function, leading to hybrid band/Mott features in the spectral
function for phonon frequencies slightly larger than the band width. (2) Since
the optical conductivity depends sensitively on the form of the spectral
function, we show that such a regime should be observable through the low
frequency form of the optical conductivity. (3) The resistivity has a double
kondo peak arrangement
","[['Hague', 'J. P.', ''], [""d'Ambrumenil"", 'N.', '']]",13.0
0704.0031,"Crystal channeling of LHC forward protons with preserved distribution in
  phase space","11 pages, 3 figures","Phys.Lett.B658:7-12,2007",10.1016/j.physletb.2007.10.051,,['hep-ph'],,"  We show that crystal can trap a broad (x, x', y, y', E) distribution of
particles and channel it preserved with a high precision. This sampled-and-hold
distribution can be steered by a bent crystal for analysis downstream. In
simulations for the 7 TeV Large Hadron Collider, a crystal adapted to the
accelerator lattice traps 90% of diffractively scattered protons emerging from
the interaction point with a divergence 100 times the critical angle. We set
the criterion for crystal adaptation improving efficiency ~100-fold. Proton
angles are preserved in crystal transmission with accuracy down to 0.1
microrad. This makes feasible a crystal application for measuring very forward
protons at the LHC.
","[['Biryukov', 'V. M.', '', 'Serpukhov, IHEP']]",11.0
0704.0032,Probing non-standard neutrino interactions with supernova neutrinos,"21 pages, 12 figures, 17 postscript files","Phys.Rev.D76:053001,2007",10.1103/PhysRevD.76.053001,,['hep-ph'],,"  We analyze the possibility of probing non-standard neutrino interactions
(NSI, for short) through the detection of neutrinos produced in a future
galactic supernova (SN).We consider the effect of NSI on the neutrino
propagation through the SN envelope within a three-neutrino framework, paying
special attention to the inclusion of NSI-induced resonant conversions, which
may take place in the most deleptonised inner layers. We study the possibility
of detecting NSI effects in a Megaton water Cherenkov detector, either through
modulation effects in the $\bar\nu_e$ spectrum due to (i) the passage of shock
waves through the SN envelope, (ii) the time dependence of the electron
fraction and (iii) the Earth matter effects; or, finally, through the possible
detectability of the neutronization $\nu_e$ burst. We find that the $\bar\nu_e$
spectrum can exhibit dramatic features due to the internal NSI-induced resonant
conversion. This occurs for non-universal NSI strengths of a few %, and for
very small flavor-changing NSI above a few$\times 10^{-5}$.
","[['Esteban-Pretel', 'A.', ''], ['Tomàs', 'R.', ''], ['Valle', 'J. W. F.', '']]",21.0
0704.0033,"Convergence of the discrete dipole approximation. I. Theoretical
  analysis","23 pages, 5 figures; added several corrections according to the
  published erratum except for Eq.(6) (it was correct in the original paper)
  and with additional correction in Eq.(96)
  [$\bar{\mathbf{G}}(...)\mathbf{P}_i^s -\bar{\mathbf{G}}^s(...)\mathbf{P}_i^p$
  instead of $(\bar{\mathbf{G}}(...) - \bar{\mathbf{G}}^s(...))\mathbf{P}_i^s$]","J.Opt.Soc.Am.A 23, 2578-2591 (2006); Erratum: J.Opt.Soc.Am.A 32,
  2407-2408 (2015)",10.1364/JOSAA.23.002578 10.1364/JOSAA.32.002407,,"['physics.optics', 'physics.comp-ph']",http://creativecommons.org/licenses/by-nc-nd/4.0/,"  We performed a rigorous theoretical convergence analysis of the discrete
dipole approximation (DDA). We prove that errors in any measured quantity are
bounded by a sum of a linear and quadratic term in the size of a dipole d, when
the latter is in the range of DDA applicability. Moreover, the linear term is
significantly smaller for cubically than for non-cubically shaped scatterers.
Therefore, for small d errors for cubically shaped particles are much smaller
than for non-cubically shaped. The relative importance of the linear term
decreases with increasing size, hence convergence of DDA for large enough
scatterers is quadratic in the common range of d. Extensive numerical
simulations were carried out for a wide range of d. Finally we discuss a number
of new developments in DDA and their consequences for convergence.
","[['Yurkin', 'Maxim A.', ''], ['Maltsev', 'Valeri P.', ''], ['Hoekstra', 'Alfons G.', '']]",23.0
